Current (A),CosPhi (Units),Energy Consumption (kWh),Reactive Energy (VARh),Voltage (V)
8.67477,0.98479,0.67436,1454.65735,223.93899
7.47948,0.9834,0.75971,1371.37605,223.57188
20.53769,0.94829,2.16496,3076.71115,222.91873
23.82011,0.95086,2.082,3542.76816,222.05408
34.82443,0.91764,3.61607,5120.78934,221.85025
30.74295,0.9063,3.02019,4972.24912,221.55
24.4023,0.94332,2.63389,3514.0202,221.59708
44.16197,0.88048,4.65217,6636.30021,221.95086
33.00271,0.92047,3.05806,4728.50048,221.8927
34.75054,0.92341,3.20679,4968.65557,222.69861
24.41276,0.93756,2.63609,3687.34181,223.07001
39.24225,0.8988,3.94837,5888.39257,221.9593
24.41716,0.93556,2.40676,3612.22955,222.46411
19.26184,0.9613,1.93737,2722.21713,223.40468
13.18567,0.97087,1.03509,1856.23445,222.81154
26.89539,0.93308,2.68215,4179.18962,223.35757
16.24697,0.94789,1.75704,2662.01647,223.78636
11.67575,0.95745,1.41343,1942.3521,224.26063
29.82732,0.89782,3.05929,4965.66563,222.89674
19.44902,0.94505,2.31402,2910.85086,222.22463
29.22239,0.92094,2.86507,4657.89243,222.37676
7.66666,0.99002,0.66908,966.22196,222.42275
25.2894,0.93264,2.16966,4180.79162,222.25982
7.85802,0.99129,0.9423,960.73571,221.89643
70.73252,0.88556,7.36729,9421.09897,221.47582
56.26502,0.90809,6.47928,7586.48579,221.11154
37.14965,0.93287,4.42248,5115.13847,223.67523
48.52696,0.91077,5.30747,6695.47484,223.37909
50.20493,0.92282,5.63537,6563.93105,222.57184
17.1041,0.97449,2.12517,2273.08521,222.73342
18.95275,0.97075,2.39856,2470.39818,222.62361
33.21962,0.94272,3.62654,4437.79509,222.64527
17.80855,0.9672,1.79622,2709.74137,223.27386
16.28876,0.97775,2.30476,2105.01394,222.77443
13.63949,0.97003,1.51449,1879.98442,222.86238
43.12983,0.92183,4.51351,5881.47442,221.80613
40.29304,0.87648,4.27575,6311.4593,221.95932
6.44674,0.98555,0.75303,953.31281,222.70619
27.66664,0.9378,2.6879,3935.07345,222.8956
28.85021,0.92114,2.95622,4434.2729,223.56106
29.52312,0.92402,2.7826,4387.60683,223.34107
26.37254,0.92788,2.54144,4011.35432,222.21996
25.21254,0.93823,2.35671,3943.87887,221.21846
33.33416,0.90551,3.38698,5095.65131,221.55547
24.29157,0.93947,2.44354,3706.95518,221.64543
23.10232,0.93329,2.20747,3797.14914,222.45058
14.14976,0.96153,1.64773,2070.76328,222.91164
8.65668,0.9844,0.94861,1112.18367,221.75033
67.65324,0.88345,7.97849,9033.44049,221.32006
50.26905,0.94322,5.69076,5988.00093,219.60552
32.74028,0.95885,3.71366,4170.16481,220.25981
82.03801,0.9336,9.76636,9459.53569,220.74815
188.64864,0.86045,22.97418,21146.29148,219.23115
177.41972,0.87476,22.08202,19642.20837,219.12545
209.64249,0.84928,25.46135,23399.35174,220.67451
36.77602,0.93198,3.42896,4923.33917,220.55119
41.51756,0.93848,4.7958,5247.73568,220.89662
27.19606,0.97798,2.77937,3342.90954,219.15832
0.0,1.0,0.01734,0.0,220.11437
0.0,1.0,0.01734,0.0,221.75342
0.0,1.0,0.01734,0.0,223.35357
0.0,1.0,0.01734,0.0,222.81272
0.0,1.0,0.0172,0.0,222.92778
0.0,1.0,0.01749,0.0,222.33836
0.0,1.0,0.01734,0.0,221.77885
0.0,1.0,0.01734,0.0,222.55484
0.03377,0.99495,0.01734,0.0,222.20624
0.0,1.0,0.01734,0.0,222.72081
0.0,1.0,0.0172,0.0,223.3942
0.0,1.0,0.01734,0.0,222.9825
0.0,1.0,0.01734,0.0,221.97145
6.71935,0.99087,0.48605,1023.24059,222.4203
0.0,1.0,0.01125,0.0,221.02534
160.17672,0.88013,18.7552,18111.92155,219.08153
218.13886,0.83918,26.06453,24568.58706,219.83523
195.14551,0.80689,23.2538,22956.81986,219.85716
194.71963,0.80714,22.55109,22945.09939,219.38163
210.67122,0.83407,25.31839,23986.1063,220.01526
209.1201,0.83695,25.87981,23915.85302,221.20451
187.39953,0.79736,21.94481,22416.45161,219.90818
194.97876,0.80712,24.19313,22965.23026,220.08608
163.50856,0.7493,18.70726,20958.01432,221.46319
128.79593,0.69619,14.11695,18508.8533,220.57775
99.55526,0.72333,9.70852,15180.36722,221.2187
19.65093,0.92678,1.84963,3220.34672,222.68414
22.13694,0.92871,1.84147,3464.76467,222.35645
41.5421,0.84838,4.00446,6911.41915,222.79428
41.73067,0.86386,3.66159,6828.19824,222.78394
28.58479,0.90473,2.36168,4631.1689,223.55096
22.25904,0.91681,1.9757,3924.77579,222.84804
20.25431,0.93101,1.93321,3307.40254,222.40465
12.65692,0.96107,1.19617,2123.6617,223.09321
21.16955,0.92626,1.89637,3555.44688,223.64293
20.9738,0.92453,1.74776,3558.99101,223.37777
11.11773,0.95655,1.23428,1835.17819,222.47557
20.26202,0.94323,2.13303,3047.94126,221.78948
108.73366,0.68624,10.45907,16996.8921,221.24477
200.93689,0.81565,24.94236,23500.16717,219.41578
227.62327,0.86065,28.55011,24815.8905,219.03877
219.05944,0.85007,27.1903,24265.9654,219.44391
194.04015,0.81151,24.05118,22640.74056,219.3726
201.04517,0.82347,24.33187,23350.44194,220.51076
162.65867,0.74866,19.31875,21173.84883,221.74066
163.36027,0.75775,18.70726,21164.71974,220.12513
